Title,Meta Score,Star Rating,Director,Year,Runtime,Rating
132. Lost in Translation,91,7.7,Clint Eastwood,2003,1h 42m,R
133. Master and Commander: The Far Side of the World,81,7.5,Martin Scorsese,2003,2h 18m,PG-13
134. Mystic River,84,7.9,Marc Forster,2003,2h 18m,R
135. Seabiscuit,72,7.3,Taylor Hackford,2003,2h 20m,PG-13
136. Chicago,81,7.2,Alexander Payne,2002,1h 53m,PG-13
137. Gangs of New York,72,7.5,Peter Jackson,2002,2h 47m,R
138. The Hours,80,7.5,Sofia Coppola,2002,1h 50m,PG-13
139. The Lord of the Rings: The Two Towers,87,8.8,Peter Weir,2002,2h 59m,PG-13
140. The Pianist,85,8.5,Clint Eastwood,2002,2h 30m,R
141. A Beautiful Mind,72,8.2,Gary Ross,2001,2h 15m,PG-13
142. Gosford Park,90,7.2,Rob Marshall,2001,2h 17m,R
143. In the Bedroom,86,7.4,Martin Scorsese,2001,2h 11m,R
144. The Lord of the Rings: The Fellowship of the Ring,92,8.9,Stephen Daldry,2001,2h 58m,PG-13
145. Moulin Rouge!,66,7.6,Peter Jackson,2001,2h 7m,PG-13
146. Gladiator,67,8.5,Roman Polanski,2000,2h 35m,R
147. Chocolat,64,7.2,Ron Howard,2000,2h 1m,PG-13
"148. Crouching Tiger, Hidden Dragon",94,7.9,Robert Altman,2000,2h,PG-13
149. Erin Brockovich,73,7.5,Todd Field,2000,2h 11m,R
150. Traffic,86,7.5,Peter Jackson,2000,2h 27m,R
151. American Beauty,84,8.3,Baz Luhrmann,1999,2h 2m,R
152. The Cider House Rules,75,7.4,Ridley Scott,1999,2h 6m,PG-13
153. The Green Mile,61,8.6,Lasse Hallström,1999,3h 9m,R
154. The Insider,85,7.8,Ang Lee,1999,2h 37m,R
155. The Sixth Sense,64,8.2,Steven Soderbergh,1999,1h 47m,PG-13
156. Shakespeare in Love,87,7.1,Steven Soderbergh,1998,2h 3m,R
157. Elizabeth,75,7.4,Sam Mendes,1998,2h 4m,R
158. Life Is Beautiful,58,8.6,Lasse Hallström,1997,1h 56m,PG-13
159. Saving Private Ryan,91,8.6,Frank Darabont,1998,2h 49m,R
160. The Thin Red Line,78,7.6,Michael Mann,1998,2h 50m,R
161. Titanic,75,7.9,M. Night Shyamalan,1997,3h 14m,PG-13
162. As Good as It Gets,67,7.7,John Madden,1997,2h 19m,PG-13
163. The Full Monty,75,7.2,Shekhar Kapur,1997,1h 31m,R
164. Good Will Hunting,71,8.3,Roberto Benigni,1997,2h 6m,R
165. L.A. Confidential,91,8.2,Steven Spielberg,1997,2h 18m,R
166. The English Patient,86,7.4,Terrence Malick,1996,2h 42m,R
167. Fargo,88,8.1,James Cameron,1996,1h 38m,R
168. Jerry Maguire,77,7.3,James L. Brooks,1996,2h 19m,R
169. Secrets & Lies,92,8.0,Peter Cattaneo,1996,2h 16m,R
170. Shine,87,7.6,Gus Van Sant,1996,1h 45m,PG-13
171. Braveheart,68,8.3,Curtis Hanson,1995,2h 58m,R
172. Apollo 13,78,7.7,Anthony Minghella,1995,2h 20m,PG
173. Babe,83,6.9,Joel Coen,1995,1h 31m,G
174. The Postman,81,7.8,Ethan Coen,1994,1h 48m,PG
175. Sense and Sensibility,84,7.7,Cameron Crowe,1995,2h 16m,PG
176. Forrest Gump,82,8.8,Mike Leigh,1994,2h 22m,PG-13
177. Four Weddings and a Funeral,81,7.1,Scott Hicks,1994,1h 57m,R
178. Pulp Fiction,95,8.9,Mel Gibson,1994,2h 34m,R
179. Quiz Show,92,7.5,Ron Howard,1994,2h 13m,PG-13
180. The Shawshank Redemption,82,9.3,Chris Noonan,1994,2h 22m,R
181. Schindler's List,95,9.0,Michael Radford,1993,3h 15m,R
182. The Fugitive,87,7.8,Massimo Troisi,1993,2h 10m,PG-13
183. In the Name of the Father,84,8.1,Ang Lee,1993,2h 13m,R
184. The Piano,89,7.5,Robert Zemeckis,1993,2h 1m,R
185. The Remains of the Day,86,7.8,Mike Newell,1993,2h 14m,PG
186. Unforgiven,85,8.2,Quentin Tarantino,1992,2h 10m,R
187. The Crying Game,90,7.2,Robert Redford,1992,1h 52m,R
188. A Few Good Men,62,7.7,Frank Darabont,1992,2h 18m,R
189. Howards End,88,7.4,Steven Spielberg,1992,2h 22m,PG
190. Scent of a Woman,57,8.0,Andrew Davis,1992,2h 36m,R
191. The Silence of the Lambs,86,8.6,Jim Sheridan,1991,1h 58m,R
192. Beauty and the Beast,95,8.0,Jane Campion,1991,1h 24m,G
193. Bugsy,80,6.8,James Ivory,1991,2h 16m,R
194. JFK,72,8.0,Clint Eastwood,1991,3h 9m,R
195. The Prince of Tides,65,6.8,Neil Jordan,1991,2h 12m,R
196. Dances with Wolves,72,8.0,Rob Reiner,1990,3h 1m,PG-13
197. Awakenings,74,7.8,James Ivory,1990,2h 1m,PG-13
198. Ghost,52,7.1,Martin Brest,1990,2h 6m,PG-13
199. The Godfather Part III,60,7.6,Jonathan Demme,1990,2h 42m,R
200. Goodfellas,92,8.7,Gary Trousdale,1990,2h 25m,R
201. Driving Miss Daisy,81,7.3,Kirk Wise,1989,1h 39m,PG
202. Born on the Fourth of July,75,7.2,Barry Levinson,1989,2h 25m,R
203. Dead Poets Society,79,8.1,Oliver Stone,1989,2h 8m,PG
204. Field of Dreams,57,7.5,Barbra Streisand,1989,1h 47m,PG
205. My Left Foot,97,7.8,Kevin Costner,1989,1h 43m,R
206. Rain Man,65,8.0,Penny Marshall,1988,2h 13m,R
207. The Accidental Tourist,52,6.7,Jerry Zucker,1988,2h 1m,PG
208. Dangerous Liaisons,74,7.5,Francis Ford Coppola,1988,1h 59m,R
209. Mississippi Burning,65,7.8,Martin Scorsese,1988,2h 8m,R
210. Working Girl,73,6.8,Bruce Beresford,1988,1h 53m,R
211. The Last Emperor,76,7.7,Oliver Stone,1987,2h 43m,PG-13
212. Broadcast News,84,7.3,Peter Weir,1987,2h 13m,R
213. Fatal Attraction,67,6.9,Phil Alden Robinson,1987,1h 59m,R
214. Hope and Glory,86,7.3,Jim Sheridan,1987,1h 53m,PG-13
215. Moonstruck,83,7.2,Barry Levinson,1987,1h 42m,PG
216. Platoon,92,8.1,Lawrence Kasdan,1986,2h,R
